,horizon,prediction,observed,basin_id
350,1,3.642266,2.9299996,CA_15013
351,2,3.6318412,2.1999998,CA_15013
352,3,3.6669407,2.33,CA_15013
353,4,3.7695038,3.8299997,CA_15013
354,5,3.8552766,3.63,CA_15013
355,6,3.9526157,5.0699997,CA_15013
356,7,4.0907736,3.8299997,CA_15013
357,8,4.215787,2.9299996,CA_15013
358,9,4.327898,3.0799997,CA_15013
359,10,4.436818,3.0799997,CA_15013
360,1,2.9314973,2.1999998,CA_15013
361,2,2.8482628,2.33,CA_15013
362,3,2.8303332,3.8299997,CA_15013
363,4,2.8849242,3.63,CA_15013
364,5,2.941509,5.0699997,CA_15013
365,6,3.0159917,3.8299997,CA_15013
366,7,3.128473,2.9299996,CA_15013
367,8,3.2374573,3.0799997,CA_15013
368,9,3.3390086,3.0799997,CA_15013
369,10,3.4403703,2.7799997,CA_15013
370,1,2.4977002,2.33,CA_15013
371,2,2.5018804,3.8299997,CA_15013
372,3,2.5500822,3.63,CA_15013
373,4,2.6498528,5.0699997,CA_15013
374,5,2.7460017,3.8299997,CA_15013
375,6,2.8502073,2.9299996,CA_15013
376,7,2.9769828,3.0799997,CA_15013
377,8,3.0922806,3.0799997,CA_15013
378,9,3.1985931,2.7799997,CA_15013
379,10,3.3024378,3.0799997,CA_15013
380,1,2.73428,3.8299997,CA_15013
381,2,2.7743857,3.63,CA_15013
382,3,2.8446949,5.0699997,CA_15013
383,4,2.9638329,3.8299997,CA_15013
384,5,3.0741868,2.9299996,CA_15013
385,6,3.1900027,3.0799997,CA_15013
386,7,3.3338065,3.0799997,CA_15013
387,8,3.4659524,2.7799997,CA_15013
388,9,3.5908394,3.0799997,CA_15013
389,10,3.7154267,3.0799997,CA_15013
390,1,4.1741433,3.63,CA_15013
391,2,4.1337543,5.0699997,CA_15013
392,3,4.138256,3.8299997,CA_15013
393,4,4.213822,2.9299996,CA_15013
394,5,4.282058,3.0799997,CA_15013
395,6,4.3575716,3.0799997,CA_15013
396,7,4.472597,2.7799997,CA_15013
397,8,4.5740595,3.0799997,CA_15013
398,9,4.665437,3.0799997,CA_15013
399,10,4.7547116,3.2699997,CA_15013
400,1,4.1055136,5.0699997,CA_15013
401,2,4.0122643,3.8299997,CA_15013
402,3,3.9522426,2.9299996,CA_15013
403,4,3.9609532,3.0799997,CA_15013
404,5,3.966864,3.0799997,CA_15013
405,6,3.986774,2.7799997,CA_15013
406,7,4.051227,3.0799997,CA_15013
407,8,4.114314,3.0799997,CA_15013
408,9,4.1784215,3.2699997,CA_15013
409,10,4.2506504,3.2699997,CA_15013
410,1,4.7911873,3.8299997,CA_15013
411,2,4.3947372,2.9299996,CA_15013
412,3,4.0714684,3.0799997,CA_15013
413,4,3.8613641,3.0799997,CA_15013
414,5,3.6917574,2.7799997,CA_15013
415,6,3.562993,3.0799997,CA_15013
416,7,3.5018256,3.0799997,CA_15013
417,8,3.4710999,3.2699997,CA_15013
418,9,3.4617283,3.2699997,CA_15013
419,10,3.466885,4.1999993,CA_15013
420,1,3.8552206,2.9299996,CA_15013
421,2,3.659781,3.0799997,CA_15013
422,3,3.4893308,3.0799997,CA_15013
423,4,3.3873465,2.7799997,CA_15013
424,5,3.301581,3.0799997,CA_15013
425,6,3.24032,3.0799997,CA_15013
426,7,3.2313485,3.2699997,CA_15013
427,8,3.2419019,3.2699997,CA_15013
428,9,3.2685418,4.1999993,CA_15013
429,10,3.3058658,4.1999993,CA_15013
430,1,3.1526368,3.0799997,CA_15013
431,2,3.1455781,3.0799997,CA_15013
432,3,3.1284246,2.7799997,CA_15013
433,4,3.1395555,3.0799997,CA_15013
434,5,3.1455772,3.0799997,CA_15013
435,6,3.1552916,3.2699997,CA_15013
436,7,3.190056,3.2699997,CA_15013
437,8,3.2303982,4.1999993,CA_15013
438,9,3.2785227,4.1999993,CA_15013
439,10,3.3246946,5.0699997,CA_15013
440,1,3.381328,3.0799997,CA_15013
441,2,3.3387225,2.7799997,CA_15013
442,3,3.2898033,3.0799997,CA_15013
443,4,3.2772954,3.0799997,CA_15013
444,5,3.2666624,3.2699997,CA_15013
445,6,3.2596462,3.2699997,CA_15013
446,7,3.2804046,4.1999993,CA_15013
447,8,3.3100436,4.1999993,CA_15013
448,9,3.3487859,5.0699997,CA_15013
449,10,3.3854156,4.87,CA_15013
450,1,3.3084357,2.7799997,CA_15013
451,2,3.2915792,3.0799997,CA_15013
452,3,3.2711458,3.0799997,CA_15013
453,4,3.290951,3.2699997,CA_15013
454,5,3.3079524,3.2699997,CA_15013
455,6,3.3264508,4.1999993,CA_15013
456,7,3.3692312,4.1999993,CA_15013
457,8,3.4214385,5.0699997,CA_15013
458,9,3.4799354,4.87,CA_15013
459,10,3.5332596,5.0699997,CA_15013
460,1,3.0885968,3.0799997,CA_15013
461,2,3.213927,3.0799997,CA_15013
462,3,3.3089964,3.2699997,CA_15013
463,4,3.4296935,3.2699997,CA_15013
464,5,3.5319195,4.1999993,CA_15013
465,6,3.6197019,4.1999993,CA_15013
466,7,3.722235,5.0699997,CA_15013
467,8,3.8259034,4.87,CA_15013
468,9,3.934809,5.0699997,CA_15013
469,10,4.033931,5.4999995,CA_15013
470,1,3.5810165,3.0799997,CA_15013
471,2,3.6658792,3.2699997,CA_15013
472,3,3.7295508,3.2699997,CA_15013
473,4,3.829356,4.1999993,CA_15013
474,5,3.9190812,4.1999993,CA_15013
475,6,3.9956717,5.0699997,CA_15013
476,7,4.094604,4.87,CA_15013
477,8,4.1916347,5.0699997,CA_15013
478,9,4.294026,5.4999995,CA_15013
479,10,4.389285,4.6299996,CA_15013
480,1,3.6057823,3.2699997,CA_15013
481,2,3.728808,3.2699997,CA_15013
482,3,3.81169,4.1999993,CA_15013
483,4,3.9225798,4.1999993,CA_15013
484,5,4.015916,5.0699997,CA_15013
485,6,4.090054,4.87,CA_15013
486,7,4.188323,5.0699997,CA_15013
487,8,4.286287,5.4999995,CA_15013
488,9,4.3940387,4.6299996,CA_15013
489,10,4.4934707,3.9999995,CA_15013
490,1,3.4720006,3.2699997,CA_15013
491,2,3.5833035,4.1999993,CA_15013
492,3,3.6555645,4.1999993,CA_15013
493,4,3.7530737,5.0699997,CA_15013
494,5,3.8325994,4.87,CA_15013
495,6,3.8916423,5.0699997,CA_15013
496,7,3.9711475,5.4999995,CA_15013
497,8,4.0500813,4.6299996,CA_15013
498,9,4.139494,3.9999995,CA_15013
499,10,4.217411,3.4699998,CA_15013
500,1,3.4463878,4.1999993,CA_15013
501,2,3.5438368,4.1999993,CA_15013
502,3,3.6030283,5.0699997,CA_15013
503,4,3.690014,4.87,CA_15013
504,5,3.7580717,5.0699997,CA_15013
505,6,3.8094714,5.4999995,CA_15013
506,7,3.882526,4.6299996,CA_15013
507,8,3.9584398,3.9999995,CA_15013
508,9,4.047131,3.4699998,CA_15013
509,10,4.1244397,3.2699997,CA_15013
510,1,4.3267264,4.1999993,CA_15013
511,2,4.2921243,5.0699997,CA_15013
512,3,4.228366,4.87,CA_15013
513,4,4.2197742,5.0699997,CA_15013
514,5,4.2127066,5.4999995,CA_15013
515,6,4.2009554,4.6299996,CA_15013
516,7,4.233127,3.9999995,CA_15013
517,8,4.2800126,3.4699998,CA_15013
518,9,4.3443794,3.2699997,CA_15013
519,10,4.406227,3.0799997,CA_15013
520,1,4.46085,5.0699997,CA_15013
521,2,4.3277173,4.87,CA_15013
522,3,4.191552,5.0699997,CA_15013
523,4,4.130556,5.4999995,CA_15013
524,5,4.082496,4.6299996,CA_15013
525,6,4.0407763,3.9999995,CA_15013
526,7,4.050558,3.4699998,CA_15013
527,8,4.0800676,3.2699997,CA_15013
528,9,4.12573,3.0799997,CA_15013
529,10,4.17374,3.0799997,CA_15013
530,1,5.365406,4.87,CA_15013
531,2,5.0594163,5.0699997,CA_15013
532,3,4.7830877,5.4999995,CA_15013
533,4,4.614867,4.6299996,CA_15013
534,5,4.4812217,3.9999995,CA_15013
535,6,4.3658943,3.4699998,CA_15013
536,7,4.315364,3.2699997,CA_15013
537,8,4.2934046,3.0799997,CA_15013
538,9,4.292831,3.0799997,CA_15013
539,10,4.299273,2.6299999,CA_15013
540,1,5.3815765,5.0699997,CA_15013
541,2,5.14869,5.4999995,CA_15013
542,3,4.919829,4.6299996,CA_15013
543,4,4.7876024,3.9999995,CA_15013
544,5,4.680855,3.4699998,CA_15013
545,6,4.583178,3.2699997,CA_15013
546,7,4.5485725,3.0799997,CA_15013
547,8,4.5386233,3.0799997,CA_15013
548,9,4.550388,2.6299999,CA_15013
549,10,4.568345,2.48,CA_15013
550,1,5.3743496,5.4999995,CA_15013
551,2,5.1533194,4.6299996,CA_15013
552,3,4.923086,3.9999995,CA_15013
553,4,4.7724285,3.4699998,CA_15013
554,5,4.6465664,3.2699997,CA_15013
555,6,4.528339,3.0799997,CA_15013
556,7,4.467322,3.0799997,CA_15013
557,8,4.427825,2.6299999,CA_15013
558,9,4.4096694,2.48,CA_15013
559,10,4.3984504,2.7799997,CA_15013
560,1,5.374242,4.6299996,CA_15013
561,2,5.076391,3.9999995,CA_15013
562,3,4.7787313,3.4699998,CA_15013
563,4,4.565839,3.2699997,CA_15013
564,5,4.3909903,3.0799997,CA_15013
565,6,4.2345767,3.0799997,CA_15013
566,7,4.136202,2.6299999,CA_15013
567,8,4.0672703,2.48,CA_15013
568,9,4.022596,2.7799997,CA_15013
569,10,3.98722,2.7799997,CA_15013
570,1,4.530364,3.9999995,CA_15013
571,2,4.307067,3.4699998,CA_15013
572,3,4.1150417,3.2699997,CA_15013
573,4,4.004015,3.0799997,CA_15013
574,5,3.919971,3.0799997,CA_15013
575,6,3.847849,2.6299999,CA_15013
576,7,3.8139327,2.48,CA_15013
577,8,3.7963862,2.7799997,CA_15013
578,9,3.7906325,2.7799997,CA_15013
579,10,3.785813,3.0799997,CA_15013
580,1,4.131109,3.4699998,CA_15013
581,2,4.0556107,3.2699997,CA_15013
582,3,3.9623373,3.0799997,CA_15013
583,4,3.9149208,3.0799997,CA_15013
584,5,3.87887,2.6299999,CA_15013
585,6,3.8387992,2.48,CA_15013
586,7,3.8235207,2.7799997,CA_15013
587,8,3.8183587,2.7799997,CA_15013
588,9,3.8257518,3.0799997,CA_15013
589,10,3.8294096,2.7799997,CA_15013
590,1,3.7250834,3.2699997,CA_15013
591,2,3.6421592,3.0799997,CA_15013
592,3,3.547296,3.0799997,CA_15013
593,4,3.492868,2.6299999,CA_15013
594,5,3.4573846,2.48,CA_15013
595,6,3.4160593,2.7799997,CA_15013
596,7,3.3914466,2.7799997,CA_15013
597,8,3.3756623,3.0799997,CA_15013
598,9,3.3692932,2.7799997,CA_15013
599,10,3.358851,3.0799997,CA_15013
600,1,3.5526338,3.0799997,CA_15013
601,2,3.5067987,3.0799997,CA_15013
602,3,3.446929,2.6299999,CA_15013
603,4,3.4227748,2.48,CA_15013
604,5,3.4109437,2.7799997,CA_15013
605,6,3.3907495,2.7799997,CA_15013
606,7,3.3838363,3.0799997,CA_15013
607,8,3.3829293,2.7799997,CA_15013
608,9,3.3900633,3.0799997,CA_15013
609,10,3.3906457,3.63,CA_15013
610,1,3.3257563,3.0799997,CA_15013
611,2,3.2847252,2.6299999,CA_15013
612,3,3.2405272,2.48,CA_15013
613,4,3.2346144,2.7799997,CA_15013
614,5,3.2357817,2.7799997,CA_15013
615,6,3.2329988,3.0799997,CA_15013
616,7,3.2453876,2.7799997,CA_15013
617,8,3.2617915,3.0799997,CA_15013
618,9,3.2843003,3.63,CA_15013
619,10,3.3015368,3.63,CA_15013
620,1,3.1762717,2.6299999,CA_15013
621,2,3.130765,2.48,CA_15013
622,3,3.0771239,2.7799997,CA_15013
623,4,3.0515952,2.7799997,CA_15013
624,5,3.0336294,3.0799997,CA_15013
625,6,3.0113869,2.7799997,CA_15013
626,7,3.0006928,3.0799997,CA_15013
627,8,2.9944549,3.63,CA_15013
628,9,2.994494,3.63,CA_15013
629,10,2.9899657,3.2699997,CA_15013
630,1,2.6849813,2.48,CA_15013
631,2,2.7243454,2.7799997,CA_15013
632,3,2.744241,2.7799997,CA_15013
633,4,2.7749348,3.0799997,CA_15013
634,5,2.7993388,2.7799997,CA_15013
635,6,2.8125975,3.0799997,CA_15013
636,7,2.8261952,3.63,CA_15013
637,8,2.8384686,3.63,CA_15013
638,9,2.8539867,3.2699997,CA_15013
639,10,2.8602312,2.9299996,CA_15013
640,1,2.6680589,2.7799997,CA_15013
641,2,2.7147717,2.7799997,CA_15013
642,3,2.7383707,3.0799997,CA_15013
643,4,2.7741334,2.7799997,CA_15013
644,5,2.8034146,3.0799997,CA_15013
645,6,2.8201377,3.63,CA_15013
646,7,2.8371568,3.63,CA_15013
647,8,2.853468,3.2699997,CA_15013
648,9,2.8730614,2.9299996,CA_15013
649,10,2.8843522,3.63,CA_15013
650,1,2.9312432,2.7799997,CA_15013
651,2,2.982187,3.0799997,CA_15013
652,3,2.999189,2.7799997,CA_15013
653,4,3.0221841,3.0799997,CA_15013
654,5,3.038863,3.63,CA_15013
655,6,3.0433855,3.63,CA_15013
656,7,3.0506592,3.2699997,CA_15013
657,8,3.0568347,2.9299996,CA_15013
658,9,3.0683324,3.63,CA_15013
659,10,3.073489,4.1999993,CA_15013
660,1,2.969459,3.0799997,CA_15013
661,2,3.019616,2.7799997,CA_15013
662,3,3.0415394,3.0799997,CA_15013
663,4,3.0744405,3.63,CA_15013
664,5,3.1021748,3.63,CA_15013
