,horizon,prediction,observed,basin_id
375,6,3.515009,2.9299996,CA_15013
376,7,3.754647,3.0799997,CA_15013
377,8,3.9670334,3.0799997,CA_15013
378,9,4.1560383,2.7799997,CA_15013
379,10,4.29656,3.0799997,CA_15013
380,1,2.4866838,3.8299997,CA_15013
381,2,2.6423132,3.63,CA_15013
382,3,2.839425,5.0699997,CA_15013
383,4,3.0732973,3.8299997,CA_15013
384,5,3.3306563,2.9299996,CA_15013
385,6,3.566455,3.0799997,CA_15013
386,7,3.800031,3.0799997,CA_15013
387,8,4.003063,2.7799997,CA_15013
388,9,4.1844077,3.0799997,CA_15013
389,10,4.322196,3.0799997,CA_15013
390,1,3.7298846,3.63,CA_15013
391,2,3.8233764,5.0699997,CA_15013
392,3,3.9394555,3.8299997,CA_15013
393,4,4.106139,2.9299996,CA_15013
394,5,4.309308,3.0799997,CA_15013
395,6,4.486306,3.0799997,CA_15013
396,7,4.671318,2.7799997,CA_15013
397,8,4.830661,3.0799997,CA_15013
398,9,4.985357,3.0799997,CA_15013
399,10,5.092984,3.2699997,CA_15013
400,1,3.8483875,5.0699997,CA_15013
401,2,3.869104,3.8299997,CA_15013
402,3,3.914834,2.9299996,CA_15013
403,4,4.0086775,3.0799997,CA_15013
404,5,4.1391597,3.0799997,CA_15013
405,6,4.2553463,2.7799997,CA_15013
406,7,4.3791623,3.0799997,CA_15013
407,8,4.4829893,3.0799997,CA_15013
408,9,4.5872164,3.2699997,CA_15013
409,10,4.651574,3.2699997,CA_15013
410,1,4.699503,3.8299997,CA_15013
411,2,4.5726166,2.9299996,CA_15013
412,3,4.4744945,3.0799997,CA_15013
413,4,4.4435754,3.0799997,CA_15013
414,5,4.469221,2.7799997,CA_15013
415,6,4.487513,3.0799997,CA_15013
416,7,4.5291634,3.0799997,CA_15013
417,8,4.5636797,3.2699997,CA_15013
418,9,4.6157136,3.2699997,CA_15013
419,10,4.6304073,4.1999993,CA_15013
420,1,3.6913648,2.9299996,CA_15013
421,2,3.6082554,3.0799997,CA_15013
422,3,3.5728917,3.0799997,CA_15013
423,4,3.5879495,2.7799997,CA_15013
424,5,3.639101,3.0799997,CA_15013
425,6,3.6828368,3.0799997,CA_15013
426,7,3.7424989,3.2699997,CA_15013
427,8,3.8010633,3.2699997,CA_15013
428,9,3.8577886,4.1999993,CA_15013
429,10,3.8818772,4.1999993,CA_15013
430,1,3.193598,3.0799997,CA_15013
431,2,3.208981,3.0799997,CA_15013
432,3,3.2518165,2.7799997,CA_15013
433,4,3.3123527,3.0799997,CA_15013
434,5,3.3895516,3.0799997,CA_15013
435,6,3.4546318,3.2699997,CA_15013
436,7,3.5261443,3.2699997,CA_15013
437,8,3.587792,4.1999993,CA_15013
438,9,3.6465895,4.1999993,CA_15013
439,10,3.6719887,5.0699997,CA_15013
440,1,3.1542978,3.0799997,CA_15013
441,2,3.221481,2.7799997,CA_15013
442,3,3.3104534,3.0799997,CA_15013
443,4,3.3889797,3.0799997,CA_15013
444,5,3.4658704,3.2699997,CA_15013
445,6,3.533574,3.2699997,CA_15013
446,7,3.5989845,4.1999993,CA_15013
447,8,3.6613066,4.1999993,CA_15013
448,9,3.7255394,5.0699997,CA_15013
449,10,3.751874,4.87,CA_15013
450,1,3.0148754,2.7799997,CA_15013
451,2,3.127142,3.0799997,CA_15013
452,3,3.2601337,3.0799997,CA_15013
453,4,3.3912446,3.2699997,CA_15013
454,5,3.5184627,3.2699997,CA_15013
455,6,3.6320887,4.1999993,CA_15013
456,7,3.7411356,4.1999993,CA_15013
457,8,3.8435507,5.0699997,CA_15013
458,9,3.9445987,4.87,CA_15013
459,10,4.004071,5.0699997,CA_15013
460,1,2.8307104,3.0799997,CA_15013
461,2,3.0097494,3.0799997,CA_15013
462,3,3.2196364,3.2699997,CA_15013
463,4,3.430375,3.2699997,CA_15013
464,5,3.6305747,4.1999993,CA_15013
465,6,3.8230636,4.1999993,CA_15013
466,7,3.9983678,5.0699997,CA_15013
467,8,4.1587167,4.87,CA_15013
468,9,4.308921,5.0699997,CA_15013
469,10,4.415155,5.4999995,CA_15013
470,1,3.0779717,3.0799997,CA_15013
471,2,3.254793,3.2699997,CA_15013
472,3,3.4372702,3.2699997,CA_15013
473,4,3.6016135,4.1999993,CA_15013
474,5,3.7520387,4.1999993,CA_15013
475,6,3.890059,5.0699997,CA_15013
476,7,4.0119667,4.87,CA_15013
477,8,4.109281,5.0699997,CA_15013
478,9,4.212046,5.4999995,CA_15013
479,10,4.2719407,4.6299996,CA_15013
480,1,2.9827867,3.2699997,CA_15013
481,2,3.1495736,3.2699997,CA_15013
482,3,3.3207886,4.1999993,CA_15013
483,4,3.4766843,4.1999993,CA_15013
484,5,3.6187932,5.0699997,CA_15013
485,6,3.7468524,4.87,CA_15013
486,7,3.8623176,5.0699997,CA_15013
487,8,3.959333,5.4999995,CA_15013
488,9,4.061206,4.6299996,CA_15013
489,10,4.1244364,3.9999995,CA_15013
490,1,3.0958548,3.2699997,CA_15013
491,2,3.2249372,4.1999993,CA_15013
492,3,3.3610132,4.1999993,CA_15013
493,4,3.482825,5.0699997,CA_15013
494,5,3.5961158,4.87,CA_15013
495,6,3.6910987,5.0699997,CA_15013
496,7,3.7805085,5.4999995,CA_15013
497,8,3.8577414,4.6299996,CA_15013
498,9,3.9413247,3.9999995,CA_15013
499,10,3.9862285,3.4699998,CA_15013
500,1,3.1372287,4.1999993,CA_15013
501,2,3.2592516,4.1999993,CA_15013
502,3,3.3850505,5.0699997,CA_15013
503,4,3.4908037,4.87,CA_15013
504,5,3.586722,5.0699997,CA_15013
505,6,3.6604242,5.4999995,CA_15013
506,7,3.7302496,4.6299996,CA_15013
507,8,3.7911258,3.9999995,CA_15013
508,9,3.8628125,3.4699998,CA_15013
509,10,3.894714,3.2699997,CA_15013
510,1,3.8937755,4.1999993,CA_15013
511,2,3.9862914,5.0699997,CA_15013
512,3,4.0507517,4.87,CA_15013
513,4,4.0858707,5.0699997,CA_15013
514,5,4.113765,5.4999995,CA_15013
515,6,4.1179066,4.6299996,CA_15013
516,7,4.1276484,3.9999995,CA_15013
517,8,4.136961,3.4699998,CA_15013
518,9,4.166601,3.2699997,CA_15013
519,10,4.1574664,3.0799997,CA_15013
520,1,4.3194056,5.0699997,CA_15013
521,2,4.438824,4.87,CA_15013
522,3,4.5033655,5.0699997,CA_15013
523,4,4.528774,5.4999995,CA_15013
524,5,4.5449567,4.6299996,CA_15013
525,6,4.5321126,3.9999995,CA_15013
526,7,4.5241117,3.4699998,CA_15013
527,8,4.5111933,3.2699997,CA_15013
528,9,4.525606,3.0799997,CA_15013
529,10,4.502148,3.0799997,CA_15013
530,1,4.866776,4.87,CA_15013
531,2,4.9511185,5.0699997,CA_15013
532,3,4.983631,5.4999995,CA_15013
533,4,4.9848404,4.6299996,CA_15013
534,5,4.9845304,3.9999995,CA_15013
535,6,4.954882,3.4699998,CA_15013
536,7,4.9318514,3.2699997,CA_15013
537,8,4.9077506,3.0799997,CA_15013
538,9,4.9156957,3.0799997,CA_15013
539,10,4.8822217,2.6299999,CA_15013
540,1,5.0995092,5.0699997,CA_15013
541,2,5.224453,5.4999995,CA_15013
542,3,5.2959523,4.6299996,CA_15013
543,4,5.3334045,3.9999995,CA_15013
544,5,5.3657312,3.4699998,CA_15013
545,6,5.360617,3.2699997,CA_15013
546,7,5.354594,3.0799997,CA_15013
547,8,5.3364553,3.0799997,CA_15013
548,9,5.3517427,2.6299999,CA_15013
549,10,5.317175,2.48,CA_15013
550,1,5.2088623,5.4999995,CA_15013
551,2,5.3338842,4.6299996,CA_15013
552,3,5.406409,3.9999995,CA_15013
553,4,5.4439964,3.4699998,CA_15013
554,5,5.4738116,3.2699997,CA_15013
555,6,5.458734,3.0799997,CA_15013
556,7,5.44704,3.0799997,CA_15013
557,8,5.4270296,2.6299999,CA_15013
558,9,5.4418535,2.48,CA_15013
559,10,5.4031067,2.7799997,CA_15013
560,1,5.295547,4.6299996,CA_15013
561,2,5.3227773,3.9999995,CA_15013
562,3,5.310562,3.4699998,CA_15013
563,4,5.295194,3.2699997,CA_15013
564,5,5.2887025,3.0799997,CA_15013
565,6,5.242364,3.0799997,CA_15013
566,7,5.215912,2.6299999,CA_15013
567,8,5.185165,2.48,CA_15013
568,9,5.1790977,2.7799997,CA_15013
569,10,5.1256084,2.7799997,CA_15013
570,1,4.5292945,3.9999995,CA_15013
571,2,4.469192,3.4699998,CA_15013
572,3,4.402362,3.2699997,CA_15013
573,4,4.357585,3.0799997,CA_15013
574,5,4.331583,3.0799997,CA_15013
575,6,4.2837396,2.6299999,CA_15013
576,7,4.258907,2.48,CA_15013
577,8,4.231447,2.7799997,CA_15013
578,9,4.2152233,2.7799997,CA_15013
579,10,4.1597853,3.0799997,CA_15013
580,1,3.9121876,3.4699998,CA_15013
581,2,3.9688802,3.2699997,CA_15013
582,3,4.0023746,3.0799997,CA_15013
583,4,4.03067,3.0799997,CA_15013
584,5,4.058694,2.6299999,CA_15013
585,6,4.0509157,2.48,CA_15013
586,7,4.0577936,2.7799997,CA_15013
587,8,4.048998,2.7799997,CA_15013
588,9,4.0507097,3.0799997,CA_15013
589,10,4.0070915,2.7799997,CA_15013
590,1,3.4808493,3.2699997,CA_15013
591,2,3.545053,3.0799997,CA_15013
592,3,3.5902576,3.0799997,CA_15013
593,4,3.6255195,2.6299999,CA_15013
594,5,3.6585674,2.48,CA_15013
595,6,3.6617017,2.7799997,CA_15013
596,7,3.6770175,2.7799997,CA_15013
597,8,3.6763818,3.0799997,CA_15013
598,9,3.6863956,2.7799997,CA_15013
599,10,3.6554308,3.0799997,CA_15013
600,1,3.3516915,3.0799997,CA_15013
