,horizon,prediction,observed,basin_id
350,1,3.891956,4.2,CA_15013
351,2,4.2148533,5.0700006,CA_15013
352,3,4.289367,4.87,CA_15013
353,4,4.2324944,5.0700006,CA_15013
354,5,4.6050587,5.5,CA_15013
355,6,4.4815297,4.63,CA_15013
356,7,4.083289,4.0,CA_15013
357,8,4.6724315,3.4699998,CA_15013
358,9,4.452914,3.2699997,CA_15013
359,10,4.4771557,3.0799997,CA_15013
360,1,4.2930737,5.0700006,CA_15013
361,2,4.507784,4.87,CA_15013
362,3,4.52857,5.0700006,CA_15013
363,4,4.205504,5.5,CA_15013
364,5,4.557716,4.63,CA_15013
365,6,4.4774227,4.0,CA_15013
366,7,4.465084,3.4699998,CA_15013
367,8,4.743622,3.2699997,CA_15013
368,9,4.838352,3.0799997,CA_15013
369,10,4.67768,3.0799997,CA_15013
370,1,4.668233,4.87,CA_15013
371,2,4.840523,5.0700006,CA_15013
372,3,4.9100857,5.5,CA_15013
373,4,4.6832423,4.63,CA_15013
374,5,4.8991137,4.0,CA_15013
375,6,4.741536,3.4699998,CA_15013
376,7,4.5660567,3.2699997,CA_15013
377,8,5.122305,3.0799997,CA_15013
378,9,5.10407,3.0799997,CA_15013
379,10,4.991028,2.6299999,CA_15013
380,1,5.3575106,5.0700006,CA_15013
381,2,5.472361,5.5,CA_15013
382,3,5.641721,4.63,CA_15013
383,4,5.3603096,4.0,CA_15013
384,5,5.569406,3.4699998,CA_15013
385,6,5.51548,3.2699997,CA_15013
386,7,5.159004,3.0799997,CA_15013
387,8,5.7425823,3.0799997,CA_15013
388,9,5.8401423,2.6299999,CA_15013
389,10,5.6398416,2.48,CA_15013
390,1,4.966755,5.5,CA_15013
391,2,5.2196693,4.63,CA_15013
392,3,5.391929,4.0,CA_15013
393,4,5.2229977,3.4699998,CA_15013
394,5,5.393199,3.2699997,CA_15013
395,6,5.417031,3.0799997,CA_15013
396,7,5.0250354,3.0799997,CA_15013
397,8,5.6412916,2.6299999,CA_15013
398,9,5.6093206,2.48,CA_15013
399,10,5.48651,2.7799997,CA_15013
400,1,5.7120876,4.63,CA_15013
401,2,5.6647954,4.0,CA_15013
402,3,5.673958,3.4699998,CA_15013
403,4,5.4139194,3.2699997,CA_15013
404,5,5.6970468,3.0799997,CA_15013
405,6,5.6673446,3.0799997,CA_15013
406,7,5.483014,2.6299999,CA_15013
407,8,5.813854,2.48,CA_15013
408,9,5.8383684,2.7799997,CA_15013
409,10,5.686779,2.7799997,CA_15013
410,1,5.6700277,4.0,CA_15013
411,2,5.4114647,3.4699998,CA_15013
412,3,5.6554513,3.2699997,CA_15013
413,4,5.10273,3.0799997,CA_15013
414,5,5.1754446,3.0799997,CA_15013
415,6,5.299693,2.6299999,CA_15013
416,7,5.0593624,2.48,CA_15013
417,8,5.364273,2.7799997,CA_15013
418,9,5.291395,2.7799997,CA_15013
419,10,5.186844,3.0799997,CA_15013
420,1,4.6341534,3.4699998,CA_15013
421,2,4.730883,3.2699997,CA_15013
422,3,5.1252666,3.0799997,CA_15013
423,4,4.763543,3.0799997,CA_15013
424,5,4.8488007,2.6299999,CA_15013
425,6,4.923752,2.48,CA_15013
426,7,4.832026,2.7799997,CA_15013
427,8,5.0420775,2.7799997,CA_15013
428,9,5.146903,3.0799997,CA_15013
429,10,5.131987,2.7799997,CA_15013
430,1,4.7909546,3.2699997,CA_15013
431,2,4.8733125,3.0799997,CA_15013
432,3,5.191062,3.0799997,CA_15013
433,4,4.963482,2.6299999,CA_15013
434,5,5.0026255,2.48,CA_15013
435,6,4.8921037,2.7799997,CA_15013
436,7,4.9281373,2.7799997,CA_15013
437,8,5.2902665,3.0799997,CA_15013
438,9,5.0197473,2.7799997,CA_15013
439,10,5.108778,3.0799997,CA_15013
440,1,4.0932965,3.0799997,CA_15013
441,2,4.2669744,3.0799997,CA_15013
442,3,4.6822505,2.6299999,CA_15013
443,4,4.413024,2.48,CA_15013
444,5,4.553524,2.7799997,CA_15013
445,6,4.30799,2.7799997,CA_15013
446,7,4.3506966,3.0799997,CA_15013
447,8,4.5762186,2.7799997,CA_15013
448,9,4.67114,3.0799997,CA_15013
449,10,4.8524446,3.63,CA_15013
450,1,3.773474,3.0799997,CA_15013
451,2,3.838017,2.6299999,CA_15013
452,3,4.291869,2.48,CA_15013
453,4,4.155369,2.7799997,CA_15013
454,5,4.128667,2.7799997,CA_15013
455,6,4.040313,3.0799997,CA_15013
456,7,3.9847634,2.7799997,CA_15013
457,8,4.2815757,3.0799997,CA_15013
458,9,4.2952285,3.63,CA_15013
459,10,4.2041736,3.63,CA_15013
460,1,3.8810456,2.6299999,CA_15013
461,2,3.7264397,2.48,CA_15013
462,3,4.0527763,2.7799997,CA_15013
463,4,3.9763384,2.7799997,CA_15013
464,5,4.1232533,3.0799997,CA_15013
465,6,4.098359,2.7799997,CA_15013
466,7,3.9292598,3.0799997,CA_15013
467,8,4.352507,3.63,CA_15013
468,9,4.2000446,3.63,CA_15013
469,10,4.090305,3.2699997,CA_15013
470,1,2.8516204,2.48,CA_15013
471,2,3.0399535,2.7799997,CA_15013
472,3,3.504304,2.7799997,CA_15013
473,4,3.5839915,3.0799997,CA_15013
474,5,3.572236,2.7799997,CA_15013
475,6,3.6590838,3.0799997,CA_15013
476,7,3.644999,3.63,CA_15013
477,8,3.872405,3.63,CA_15013
478,9,3.7490249,3.2699997,CA_15013
479,10,3.812523,2.93,CA_15013
480,1,2.7023048,2.7799997,CA_15013
481,2,2.7669523,2.7799997,CA_15013
482,3,3.3237135,3.0799997,CA_15013
483,4,3.582476,2.7799997,CA_15013
484,5,3.6755795,3.0799997,CA_15013
485,6,3.714763,3.63,CA_15013
486,7,3.7486262,3.63,CA_15013
487,8,3.693365,3.2699997,CA_15013
488,9,3.7386105,2.93,CA_15013
489,10,3.870341,3.63,CA_15013
490,1,2.9986556,2.7799997,CA_15013
491,2,3.0703218,3.0799997,CA_15013
492,3,3.3995128,2.7799997,CA_15013
493,4,3.7178574,3.0799997,CA_15013
494,5,3.713321,3.63,CA_15013
495,6,3.7914011,3.63,CA_15013
496,7,3.8250828,3.2699997,CA_15013
497,8,3.823001,2.93,CA_15013
498,9,3.9026368,3.63,CA_15013
499,10,3.8068972,4.2,CA_15013
500,1,3.3675866,3.0799997,CA_15013
501,2,3.2501123,2.7799997,CA_15013
502,3,3.4724495,3.0799997,CA_15013
503,4,3.5174656,3.63,CA_15013
504,5,3.7257705,3.63,CA_15013
505,6,3.8295827,3.2699997,CA_15013
506,7,3.8237398,2.93,CA_15013
507,8,3.9259968,3.63,CA_15013
508,9,3.8982432,4.2,CA_15013
509,10,3.966323,3.8300002,CA_15013
510,1,3.4819605,2.7799997,CA_15013
511,2,3.1579726,3.0799997,CA_15013
512,3,3.5847096,3.63,CA_15013
513,4,3.3904564,3.63,CA_15013
514,5,3.5641313,3.2699997,CA_15013
515,6,3.7288113,2.93,CA_15013
516,7,3.4968598,3.63,CA_15013
517,8,3.5611663,4.2,CA_15013
