gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,cluster_13_prob,cluster_14_prob,predicted_cluster
CA_15256,0.07666666666666666,0.013333333333333334,0.043333333333333335,0.11,0.1,0.0,0.07333333333333333,0.0,0.05333333333333334,0.0033333333333333335,0.09666666666666666,0.006666666666666667,0.006666666666666667,0.14333333333333334,0.2733333333333333,14
CA_15259,0.07666666666666666,0.03,0.06,0.12333333333333334,0.09333333333333334,0.006666666666666667,0.08333333333333333,0.0,0.07,0.0033333333333333335,0.1,0.006666666666666667,0.0033333333333333335,0.11,0.23333333333333334,14
CA_15278,0.056666666666666664,0.02666666666666667,0.06,0.13333333333333333,0.08,0.006666666666666667,0.09,0.0,0.07,0.0033333333333333335,0.10333333333333333,0.0033333333333333335,0.0,0.14,0.22666666666666666,14
CA_15283,0.03,0.01,0.07333333333333333,0.07,0.043333333333333335,0.0,0.05,0.0,0.023333333333333334,0.0,0.07,0.006666666666666667,0.0,0.15,0.47333333333333333,14
CA_15285,0.023333333333333334,0.03,0.07,0.10666666666666667,0.13,0.0033333333333333335,0.06666666666666667,0.0,0.06,0.0,0.04666666666666667,0.006666666666666667,0.0,0.11333333333333333,0.3433333333333333,14
CA_15287,0.03333333333333333,0.013333333333333334,0.05,0.07333333333333333,0.06333333333333334,0.0033333333333333335,0.056666666666666664,0.0,0.043333333333333335,0.0,0.043333333333333335,0.006666666666666667,0.0,0.13666666666666666,0.4766666666666667,14
CA_15312,0.06,0.016666666666666666,0.023333333333333334,0.09,0.08333333333333333,0.0,0.043333333333333335,0.0,0.03666666666666667,0.0,0.13666666666666666,0.0,0.0033333333333333335,0.12666666666666668,0.38,14
CA_16055,0.07666666666666666,0.02,0.04666666666666667,0.11,0.06,0.0,0.03,0.0,0.03333333333333333,0.006666666666666667,0.02,0.006666666666666667,0.016666666666666666,0.23333333333333334,0.34,14
CA_16059,0.05,0.05,0.02,0.10666666666666667,0.06,0.0033333333333333335,0.016666666666666666,0.0,0.056666666666666664,0.006666666666666667,0.056666666666666664,0.006666666666666667,0.0033333333333333335,0.25333333333333335,0.31,14
CA_16068,0.09,0.023333333333333334,0.023333333333333334,0.08666666666666667,0.07333333333333333,0.0033333333333333335,0.016666666666666666,0.0,0.03333333333333333,0.006666666666666667,0.01,0.0033333333333333335,0.013333333333333334,0.25666666666666665,0.36,14
CA_16070,0.07,0.01,0.05,0.12,0.08333333333333333,0.013333333333333334,0.043333333333333335,0.0,0.05,0.0033333333333333335,0.016666666666666666,0.006666666666666667,0.013333333333333334,0.22,0.3,14
CA_16096,0.02666666666666667,0.013333333333333334,0.016666666666666666,0.05,0.043333333333333335,0.0,0.02666666666666667,0.0,0.02666666666666667,0.0,0.05333333333333334,0.006666666666666667,0.0,0.18,0.5566666666666666,14
CA_16100,0.02666666666666667,0.02,0.03,0.04666666666666667,0.05333333333333334,0.0033333333333333335,0.02,0.0,0.04666666666666667,0.0033333333333333335,0.03,0.0033333333333333335,0.0,0.2,0.5166666666666667,14
CA_16101,0.023333333333333334,0.023333333333333334,0.07666666666666666,0.07,0.09333333333333334,0.006666666666666667,0.03666666666666667,0.0,0.04666666666666667,0.0033333333333333335,0.04666666666666667,0.0033333333333333335,0.0,0.11333333333333333,0.45666666666666667,14
CA_16105,0.03,0.04,0.013333333333333334,0.08,0.05333333333333334,0.006666666666666667,0.03333333333333333,0.0,0.08333333333333333,0.01,0.06333333333333334,0.0033333333333333335,0.0,0.24666666666666667,0.33666666666666667,14
CA_16121,0.03666666666666667,0.0,0.01,0.043333333333333335,0.02666666666666667,0.0,0.0033333333333333335,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.29333333333333333,0.58,14
CA_16127,0.03333333333333333,0.0033333333333333335,0.02666666666666667,0.06,0.07333333333333333,0.006666666666666667,0.016666666666666666,0.0,0.02,0.0033333333333333335,0.01,0.0,0.0033333333333333335,0.30666666666666664,0.43666666666666665,14
CA_16134,0.08666666666666667,0.006666666666666667,0.023333333333333334,0.08666666666666667,0.15666666666666668,0.0,0.023333333333333334,0.0,0.04,0.006666666666666667,0.01,0.0033333333333333335,0.013333333333333334,0.3233333333333333,0.22,13
CA_16135,0.06666666666666667,0.01,0.02666666666666667,0.14333333333333334,0.18,0.0,0.016666666666666666,0.0033333333333333335,0.04666666666666667,0.006666666666666667,0.016666666666666666,0.0,0.013333333333333334,0.26666666666666666,0.20333333333333334,13
CA_16136,0.023333333333333334,0.0033333333333333335,0.006666666666666667,0.043333333333333335,0.02666666666666667,0.0,0.013333333333333334,0.0,0.006666666666666667,0.0033333333333333335,0.013333333333333334,0.0,0.0,0.19,0.67,14
CA_16139,0.043333333333333335,0.006666666666666667,0.02666666666666667,0.09333333333333334,0.11,0.01,0.02666666666666667,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.01,0.32,0.32666666666666666,14
CA_16143,0.07666666666666666,0.013333333333333334,0.03666666666666667,0.12666666666666668,0.13333333333333333,0.0,0.04,0.016666666666666666,0.043333333333333335,0.0033333333333333335,0.056666666666666664,0.006666666666666667,0.02666666666666667,0.2833333333333333,0.13666666666666666,13
CA_16146,0.04666666666666667,0.02666666666666667,0.07,0.11666666666666667,0.09333333333333334,0.006666666666666667,0.03666666666666667,0.0,0.05333333333333334,0.0033333333333333335,0.12333333333333334,0.0033333333333333335,0.0,0.17,0.25,14
CA_16151,0.023333333333333334,0.02,0.08333333333333333,0.09333333333333334,0.06,0.006666666666666667,0.023333333333333334,0.0,0.06666666666666667,0.0,0.023333333333333334,0.0033333333333333335,0.0,0.16,0.43666666666666665,14
CA_16153,0.02666666666666667,0.023333333333333334,0.03,0.043333333333333335,0.056666666666666664,0.01,0.03666666666666667,0.0,0.023333333333333334,0.0,0.043333333333333335,0.0,0.0033333333333333335,0.11333333333333333,0.59,14
CA_16158,0.03,0.02666666666666667,0.05,0.04666666666666667,0.08333333333333333,0.006666666666666667,0.04,0.0,0.016666666666666666,0.0,0.06666666666666667,0.0,0.0,0.14666666666666667,0.4866666666666667,14
CA_16159,0.03333333333333333,0.03666666666666667,0.05333333333333334,0.11,0.09,0.006666666666666667,0.05333333333333334,0.0,0.07333333333333333,0.0,0.10333333333333333,0.006666666666666667,0.0,0.14,0.29333333333333333,14
CA_16160,0.03666666666666667,0.02666666666666667,0.04666666666666667,0.04666666666666667,0.08,0.01,0.043333333333333335,0.0,0.016666666666666666,0.0,0.08333333333333333,0.0,0.0033333333333333335,0.13,0.4766666666666667,14
CA_16161,0.03,0.02666666666666667,0.08333333333333333,0.10333333333333333,0.09333333333333334,0.006666666666666667,0.05,0.0,0.03,0.0,0.11,0.0033333333333333335,0.0,0.10333333333333333,0.36,14
CA_16169,0.02666666666666667,0.01,0.023333333333333334,0.03666666666666667,0.04666666666666667,0.0033333333333333335,0.03,0.0,0.023333333333333334,0.0033333333333333335,0.03,0.0033333333333333335,0.0033333333333333335,0.13333333333333333,0.6266666666666667,14
CA_16176,0.043333333333333335,0.02,0.006666666666666667,0.06666666666666667,0.04666666666666667,0.0,0.03333333333333333,0.0,0.04,0.0033333333333333335,0.05,0.006666666666666667,0.0,0.27666666666666667,0.4066666666666667,14
