gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,predicted_cluster
CA_16161,0.38493004204334264,0.0672477969348659,0.04287816091954023,0.005304229295608606,0.04380163030729533,0.012009615384615384,0.04826007115489874,0.07853739316239315,0.012112179487179487,0.12451398046398046,0.18040490084628014,0
CA_16169,0.39685132731253425,0.025406130268199233,0.043780401815898776,0.005229442970822281,0.049616347732727044,0.0019926470588235295,0.012505799446215266,0.050734432234432233,0.014214447317388492,0.0775124883286648,0.32215653551429413,0
CA_16176,0.2747006935291355,0.060078589512828906,0.04573468579628761,0.01155637254901961,0.05330015596620074,0.0019730392156862746,0.02316918659320235,0.03423935262364055,0.01749140810170222,0.11822509920975795,0.3595314169025384,10
CA_16205,0.4179853976073188,0.04526724137931035,0.026285303776683092,0.03055316091954023,0.04711353506920009,0.002,0.02704022988505747,0.06415705128205128,0.0037655677655677655,0.06849007936507938,0.2673424329501916,0
CA_16487,0.23780899852753395,0.035046849087893864,0.012944444444444446,0.02179539882314482,0.0401365338314549,0.008440476190476191,0.016259882345328092,0.0327324016563147,0.03290645300673461,0.059415026374038435,0.5025135357126359,10
CA_16510,0.3561184656886627,0.05894224137931034,0.05166387520525451,0.009458170182308113,0.046408157400891395,0.009450091575091574,0.03640689655172414,0.09216116163529955,0.009903846153846154,0.09954374236874236,0.22994335185886913,0
CA_17050,0.2648867526530418,0.03151930363661568,0.020765547263681586,0.015572313135780629,0.0863098847565023,0.013365914786967421,0.07111744057249031,0.042267543859649113,0.020352443609022556,0.04750374649159859,0.3863391092346501,10
CA_17077,0.11719856452205743,0.09907506111073883,0.0897123703204875,0.02097379200689897,0.09092580789554539,0.019383314054366683,0.06998779114275835,0.04621173242904992,0.025247828044848163,0.14962109657408898,0.27166264189915984,10
CA_17082,0.30116674246557923,0.02452185501066098,0.0245750710732054,0.002955182072829132,0.040950186491231264,9.80392156862745e-05,0.039119968997932124,0.0592246283128636,0.018205693815987932,0.07607167785471121,0.41311095468931286,10
CA_17100,0.21010075281989032,0.05017856325483051,0.023321102819237147,0.010420352351466903,0.07920128039789792,0.009713954002653692,0.05245013201230567,0.04746944489978546,0.022368322610195678,0.10246388821251662,0.3923122066192201,10
CA_17110,0.5056019886881956,0.029250045612114577,0.025543240284619594,0.006594827586206897,0.03292022441160372,0.0,0.02428493887976647,0.0299010989010989,0.01623646723646724,0.06849272486772487,0.2611744435322022,0
CA_17137,0.15556688082910383,0.06616432817890018,0.04594338061591304,0.022264674695789247,0.07415160541967987,0.020337182223708,0.06657622461827217,0.10800519554760506,0.027843298721041347,0.15943389110331488,0.2537133380466723,10
CA_17147,0.4964642369813423,0.03385977443609023,0.017197243107769423,0.004583333333333333,0.02514021164021164,0.0016666666666666666,0.02772305764411027,0.024540823211875843,0.02628937728937729,0.07427329434697855,0.2682619813422445,0
CA_17150,0.412365030632136,0.0594417850181008,0.030497896702540665,0.003333333333333333,0.03475396825396825,0.00011764705882352942,0.025572225088865953,0.03145748987854251,0.020768680121621298,0.12017996256982326,0.26151198134224446,0
CA_17202,0.2904914195210248,0.04375898078529657,0.030920118924762888,0.008666666666666666,0.053890211640211634,0.0021176470588235297,0.03512315101479187,0.03354082321187584,0.02001206636500754,0.10976276680262748,0.37171614800891123,10
CA_17288,0.3591436553548622,0.023314860426929394,0.033932129173508484,0.01617816091954023,0.04814575351213282,0.0,0.024540229885057472,0.052698717948717944,0.017384615384615384,0.07040410052910054,0.3542577768655356,0
CA_17325,0.41850377440248127,0.037314860426929386,0.02676546250684182,0.00867816091954023,0.0422767058930852,0.0,0.02459975369458128,0.019365384615384618,0.010956043956043958,0.08091600529100529,0.33062384829410696,0
CA_17329,0.4583108639654693,0.04361215538847118,0.015730576441102758,0.01005952380952381,0.022056878306878306,0.0,0.032508771929824556,0.014639724310776942,0.010571428571428572,0.10621853244221667,0.286291544834308,0
CA_17338,0.4614656258702311,0.038397869674185466,0.02988930659983292,0.00125,0.011640211640211642,0.0,0.022369883040935668,0.02954082321187584,0.012956043956043954,0.07963519910888332,0.3128550368978001,0
CA_17344,0.31521909571909573,0.045728174603174604,0.024277777777777777,0.003333333333333333,0.027886423761423765,0.0016666666666666666,0.050298881673881676,0.04844114219114219,0.013057234432234433,0.11894973544973546,0.3511415343915344,10
CA_17453,0.38092129629629634,0.033372245913290695,0.03361904761904762,0.005476190476190476,0.025227693602693602,0.0,0.026907238698283473,0.02590909090909091,0.019228174603174605,0.06357914791123746,0.3857598739706949,10
CA_17462,0.19268949184257345,0.0548234646497319,0.02601554726368159,0.01119352525699275,0.0998398686614862,0.009070460241512873,0.05909011022581329,0.05174115358325884,0.030024937781516724,0.08050576522992399,0.38500567526350843,10
